"번호","개방서비스명","개방자치단체코드","인허가일자","영업상태명","폐업일자","소재지면적","사업장명","업태구분명","시설총규모","주소","시도"
1705,"휴게음식점",3010000,20181119,"폐업",20211101,"514.86","스타벅스 명동센트럴점","커피숍",514.86,"서울특별시 중구 명동9길 16, 명동센트럴빌딩 1층-중2층 (명동1가)","서울특별시"
3681,"휴게음식점",3130000,20140624,"폐업",20191115,"252.76","스타벅스커피홍대공원점","커피숍",252.76,"서울특별시 마포구 와우산로 83 (서교동, 1층일부, 2층)","서울특별시"
9423,"휴게음식점",3910000,20090422,"폐업",20140731,"145.43","스타벅스 AK평택역사","커피숍",145.43,"경기도 평택시 평택로 51 (평택동,외32필지 평택민자역사(3층))","경기도"
11197,"휴게음식점",3820000,20081127,"폐업",20181126,"391.92","스타벅스 의정부중앙점","커피숍",391.92,"경기도 의정부시 행복로 7, 지상1,2,3층 (의정부동)","경기도"
12003,"휴게음식점",5600000,20130703,"폐업",20210716,"159.67","스타벅스커피 포천송우점","커피숍",159.67,"경기도 포천시 소흘읍 솔모루로 55, 1층","경기도"
19753,"휴게음식점",3520000,20110525,"폐업",20190524,"222.52","스타벅스 송도점","커피숍",222.52,"인천광역시 연수구 컨벤시아대로 60, 1층 113,114,115,116,117호 (송도동, 송도푸르지오월드마크2단지)","인천광역시"
20340,"휴게음식점",3690000,20061205,"폐업",20211124,"381.03","(주)스타벅스커피코리아울산성남동점","기타 휴게음식점",381.03,"울산광역시 중구 젊음의거리 74, 1,2,3층 (성남동)","울산광역시"
21594,"휴게음식점",3700000,20080620,"폐업",20150629,"153.28","스타벅스울산삼산동점","커피숍",153.28,"울산광역시 남구 삼산로 274 (삼산동,(지상1층))","울산광역시"
22052,"휴게음식점",3700000,20060614,"폐업",20110906,"101.36","(주)스타벅스 현대울산점","커피숍",101.36,"울산광역시 남구 삼산동 1521-1번지 번지(지상1층)","울산광역시"
27449,"휴게음식점",3340000,20121112,"폐업",20181115,"130.60","스타벅스 부산다대포점","커피숍",130.6,"부산광역시 사하구 다대로 708 (다대동)","부산광역시"
27506,"휴게음식점",3340000,20100305,"폐업",20180322,"171.55","스타벅스하단역점","커피숍",171.55,"부산광역시 사하구 낙동대로 474 (하단동,(낙동로 674))","부산광역시"
31804,"휴게음식점",5710000,20071012,"폐업",20110125,"223.99","스타벅스로데오점","커피숍",223.99,"충청북도 청주시 상당구 북문로1가 114번지 외1필지(1층)","충청북도"
35120,"휴게음식점",3220000,20100826,"폐업",20151006,"265.23","스타벅스신사가로수길점","다방",265.23,"서울특별시 강남구 도산대로13길 9 (신사동,2층)","서울특별시"
35390,"휴게음식점",3220000,20100129,"폐업",20171130,"252.77","스타벅스  삼성역사거리점","다방",252.77,"서울특별시 강남구 테헤란로98길 11 (대치동,지상1층)","서울특별시"
36187,"휴게음식점",3130000,20051220,"폐업",20110120,"430.91","스타벅스 홍대정문점","커피숍",430.91,"서울특별시 마포구 서교동 360-6번지 1.2.3.4층","서울특별시"
36405,"휴게음식점",3240000,20040621,"폐업",20140801,"135.00","스타벅스현대천호점","커피숍",135,"서울특별시 강동구 천호대로 1005 (천호동,현대백화점 지하1층)","서울특별시"
37088,"휴게음식점",3050000,20081218,"폐업",20190328,"153.06","스타벅스청량리역점","커피숍",153.06,"서울특별시 동대문구 왕산로40길 2 (전농동)","서울특별시"
40068,"휴게음식점",3130000,20030520,"폐업",20110531,"131.00","스타벅스월드컵경기장점","커피숍",131,"서울특별시 마포구 성산동 515번지 월드컵경기장2층","서울특별시"
40132,"휴게음식점",3130000,20021224,"폐업",20121207,"132.14","스타벅스홍대점","커피숍",132.14,"서울특별시 마포구 동교동 163-8번지","서울특별시"
40541,"휴게음식점",3130000,20120628,"폐업",20190709,"260.07","스타벅스공덕역점","커피숍",260.07,"서울특별시 마포구 마포대로 143 (공덕동, 공덕파크팰리스 1층 114~121호)","서울특별시"
40621,"휴게음식점",3220000,20061219,"폐업",20131101,"117.80","스타벅스 코엑스2점","다방",117.8,"서울특별시 강남구 영동대로 511 (삼성동,지하1층 코엑스몰 N6호)","서울특별시"
40669,"휴게음식점",3220000,20050818,"폐업",20101006,"173.55","스타벅스영동점","다방",173.55,"서울특별시 강남구 논현동 111-26번지 지상1,2층","서울특별시"
40982,"휴게음식점",3220000,20040701,"폐업",20131101,"241.00","스타벅스도심공항터미널점","다방",241,"서울특별시 강남구 테헤란로87길 22 (삼성동,한국도심공항터미널지하1층)","서울특별시"
41684,"휴게음식점",3220000,20130312,"폐업",20201109,"245.81","스타벅스 삼성역점","커피숍",245.81,"서울특별시 강남구 테헤란로103길 9, 1층 (삼성동)","서울특별시"
43494,"휴게음식점",3130000,20090428,"폐업",20210218,"266.00","스타벅스홍대갤러리점","커피숍",266,"서울특별시 마포구 와우산로 101 (서교동,1층, 2층)","서울특별시"
44190,"휴게음식점",3220000,20060816,"폐업",20110920,"515.70","스타벅스 씨티극장점","다방",515.7,"서울특별시 강남구 역삼동 816-0번지 지하1층","서울특별시"
44202,"휴게음식점",3220000,20030422,"폐업",20210402,"92.56","스타벅스기술센터점","다방",92.56,"서울특별시 강남구 테헤란로 305 (역삼동,한국기술센터빌딩지상1층)","서울특별시"
44413,"휴게음식점",3220000,20060524,"폐업",20210720,"215.87","스타벅스수서점","다방",215.87,"서울특별시 강남구 밤고개로1길 10, 지하2층 207,208,209,210,211호 (수서동, 수서현대벤쳐빌)","서울특별시"
45149,"휴게음식점",3220000,20020513,"폐업",20080118,"59.40","스타벅스삼성서울병원점","다방",59.4,"서울특별시 강남구 일원동 50-0번지 삼성서울병원지상1층","서울특별시"
45257,"휴게음식점",3130000,20070727,"폐업",20120912,"249.15","스타벅스 홍대로데오점","커피숍",249.15,"서울특별시 마포구 서교동 358-54번지 1, 2, 3 층","서울특별시"
45755,"휴게음식점",3220000,20050223,"폐업",20100312,"226.82","스타벅스랜드마크점","다방",226.82,"서울특별시 강남구 역삼동 837-36번지 랜드마크타워지상1층","서울특별시"
45756,"휴게음식점",3220000,20050221,"폐업",20091105,"138.84","스타벅스논현역점","다방",138.84,"서울특별시 강남구 논현동 142-3번지 지상1층","서울특별시"
45779,"휴게음식점",3220000,20021230,"폐업",20121119,"191.73","스타벅스삼성역점","다방",191.73,"서울특별시 강남구 영동대로96길 8 (삼성동,석광빌딩1층)","서울특별시"
45786,"휴게음식점",3220000,20021217,"폐업",20071204,"231.40","스타벅스청담점","다방",231.4,"서울특별시 강남구 청담동 85-4번지 지상1층","서울특별시"
45891,"휴게음식점",3220000,20030610,"폐업",20080312,"49.58","스타벅스리빙플라자선릉점","다방",49.58,"서울특별시 강남구 삼성동 142-39번지 지상1층","서울특별시"
46481,"휴게음식점",3130000,20111206,"폐업",20160905,"516.61","스타벅스합정역점","커피숍",516.61,"서울특별시 마포구 독막로 5 (합정동)","서울특별시"
46504,"휴게음식점",3160000,20071217,"폐업",20130121,"148.50","스타벅스 신도림테크노마트","백화점",148.5,"서울특별시 구로구 구로동 3-25번지 신도림테크노마트 지상1층 004,005,006호","서울특별시"
46576,"휴게음식점",3220000,20060414,"폐업",20110527,"107.43","스타벅스양재역점","다방",107.43,"서울특별시 강남구 도곡동 953-1번지 SK허브프리모지상1층105호","서울특별시"
46776,"휴게음식점",3220000,20070914,"폐업",20120920,"90.00","스타벅스삼성2점","다방",90,"서울특별시 강남구 테헤란로104길 9 (대치동,지상1층)","서울특별시"
46858,"휴게음식점",3220000,20011123,"폐업",20121207,"178.00","스타벅스논현점","다방",178,"서울특별시 강남구 논현동 62-12번지 2층","서울특별시"
47003,"휴게음식점",3220000,20001107,"폐업",20110419,"241.00","스타벅스 역삼점","다방",241,"서울특별시 강남구 역삼동 679-4번지 로담코타워2층","서울특별시"
47062,"휴게음식점",3220000,20020723,"폐업",20080109,"166.00","스타벅스국기원점","다방",166,"서울특별시 강남구 역삼동 648-26번지 진진빌딩1층","서울특별시"
47146,"휴게음식점",3220000,20000508,"폐업",20041006,"251.00","스타벅스아셈점","다방",251,"서울특별시 강남구 삼성동 159-9번지 멀티플렉스","서울특별시"
47279,"휴게음식점",3220000,20000215,"폐업",20110120,"528.00","스타벅스강남점","다방",528,"서울특별시 강남구 역삼동 820-8번지","서울특별시"
47492,"휴게음식점",3220000,20051005,"폐업",20101029,"114.65","스타벅스 포스코사거리점","다방",114.65,"서울특별시 강남구 삼성동 157-0번지 지상1층","서울특별시"
47577,"휴게음식점",3220000,20001230,"폐업",20110419,"342.98","스타벅스압구정점","다방",342.98,"서울특별시 강남구 신사동 641-0번지 1,2층","서울특별시"
47610,"휴게음식점",3220000,20070308,"폐업",20110419,"62.70","스타벅스역삼이마트점","다방",62.7,"서울특별시 강남구 역삼동 755-0번지 역삼이마트 지하1층","서울특별시"
47632,"휴게음식점",3220000,20050923,"폐업",20101006,"132.23","스타벅스청담역점","다방",132.23,"서울특별시 강남구 삼성동 52-17번지 지상1층","서울특별시"
47705,"휴게음식점",3220000,20010130,"폐업",20080109,"231.40","스타벅스 신사점","다방",231.4,"서울특별시 강남구 논현동 17-0번지 동신빌딩 지상1,2층","서울특별시"
47822,"휴게음식점",3220000,20080626,"폐업",20130716,"141.90","스타벅스 가로수길 점","다방",141.9,"서울특별시 강남구 압구정로12길 10 (신사동,지상1층)","서울특별시"
47823,"휴게음식점",3220000,20080626,"폐업",20140711,"165.00","스타벅스 국기원사거리점","다방",165,"서울특별시 강남구 테헤란로8길 32 (역삼동,지상1층)","서울특별시"
47905,"휴게음식점",3220000,20001109,"폐업",20140114,"157.00","에렉스에프앤비(주)스타벅스코엑스점","다방",157,"서울특별시 강남구 영동대로 511 (삼성동,코엑스몰내 L7)","서울특별시"
49970,"휴게음식점",4390000,20130129,"폐업",20200206,"186.31","스타벅스충주성서점","커피숍",186.31,"충청북도 충주시 예성로 151 (성서동)","충청북도"
62069,"휴게음식점",3450000,20110818,"폐업",20160829,"213.41","스타벅스엑스코점","커피숍",213.41,"대구광역시 북구 유통단지로 90 (산격동,엑스코1층)","대구광역시"
62760,"휴게음식점",3450000,20030812,"폐업",20030909,"","(주)스타벅스커피코리아","패스트푸드",0,"대구광역시 북구 동변동 694번지 u대회 조직위원회 선수촌부 112동","대구광역시"
66792,"휴게음식점",5710000,20101214,"폐업",20151216,"367.12","스타벅스청주성안길","커피숍",367.12,"충청북도 청주시 상당구 성안로 37 (남문로2가,(2~3층))","충청북도"
77788,"휴게음식점",3290000,20050629,"폐업",20101102,"","스타벅스 아이온시티점","커피숍",0,"부산광역시 부산진구 부전동 257-3번지 외 5필지","부산광역시"
77859,"휴게음식점",3290000,20030619,"폐업",20110623,"163.36","스타벅스태화서면점","커피숍",163.36,"부산광역시 부산진구 부전동 183-1번지 외7필지 쥬디스태화신관1층(24호)","부산광역시"
77937,"휴게음식점",3290000,20010512,"폐업",20071001,"","(주)스타벅스커피코리아","커피숍",0,"부산광역시 부산진구 부전동 503번지 롯데백화점 9층","부산광역시"
77998,"휴게음식점",3290000,20121112,"폐업",20191205,"169.10","스타벅스 서면일번가점","커피숍",169.1,"부산광역시 부산진구 서면로 25, 1층 (부전동, 서면삼한골드뷰107호)","부산광역시"
78674,"휴게음식점",3330000,20090224,"폐업",20110927,"109.89","스타벅스센텀노블레스점","커피숍",109.89,"부산광역시 해운대구 우동 1495번지 신세계백화점(1층)","부산광역시"
78675,"휴게음식점",3330000,20090224,"폐업",20210712,"24.09","스타벅스센텀갤러리점","커피숍",24.09,"부산광역시 해운대구 센텀남대로 35 (우동, 신세계백화점 6층)","부산광역시"
78676,"휴게음식점",3330000,20090224,"폐업",20170717,"106.26","스타벅스센텀로망스점","커피숍",106.26,"부산광역시 해운대구 센텀남대로 35 (우동, 신세계백화점 8층)","부산광역시"
79102,"휴게음식점",3330000,20061129,"폐업",20120116,"186.82","스타벅스센텀시티점","커피숍",186.82,"부산광역시 해운대구 센텀동로 9 (우동, 트럼프스퀘어104호)","부산광역시"
79357,"휴게음식점",3330000,20160330,"폐업",20210430,"76.00","스타벅스 센텀몰5","커피숍",76,"부산광역시 해운대구 센텀4로 15, 6층 (우동, 센텀시티몰)","부산광역시"
84358,"휴게음식점",3740000,20110526,"폐업",20210514,"311.48","스타벅스 수원시청점","커피숍",311.48,"경기도 수원시 권선구 효원로 274 (권선동,1,2층)","경기도"
85612,"휴게음식점",3740000,20030214,"폐업",20090910,"157.02","스타벅스수원역점","커피숍",157.02,"경기도 수원시 팔달구 매산로1가 18 번지 외1필지(지상3층)","경기도"
