"번호","개방서비스명","개방자치단체코드","인허가일자","영업상태명","폐업일자","소재지면적","사업장명","업태구분명","시설총규모","주소","시도"
428,"휴게음식점",3780000,20201201,"폐업",20201230,"138.13","투썸플레이스 성남시청점","커피숍",138.13,"경기도 성남시 중원구 양현로 409, 어반스퀘어 1층 104호, 105호, 106호, 107호 (여수동)","경기도"
3543,"휴게음식점",3130000,20150519,"폐업",20151105,"160.63","투썸플레이스","커피숍",160.63,"서울특별시 마포구 와우산로21길 26, 2층 (서교동)","서울특별시"
6161,"휴게음식점",3220000,20101224,"폐업",20110603,"303.27","투썸플레이스강남대륭타워","다방",303.27,"서울특별시 강남구 역삼동 826-20번지 대륭타워1층","서울특별시"
6728,"휴게음식점",4050000,20171026,"폐업",20171030,"25.00","투썸플레이스2","유원지",25,"경기도 용인시 처인구 포곡읍 에버랜드로 199","경기도"
6729,"휴게음식점",4050000,20171026,"폐업",20171030,"25.00","투썸플레이스1","유원지",25,"경기도 용인시 처인구 포곡읍 에버랜드로 199","경기도"
7458,"휴게음식점",4050000,20180417,"폐업",20180423,"34.00","투썸플레이스1","커피숍",34,"경기도 용인시 처인구 포곡읍 에버랜드로 199","경기도"
7876,"휴게음식점",4050000,20180417,"폐업",20180423,"34.00","투썸플레이스2","커피숍",34,"경기도 용인시 처인구 포곡읍 에버랜드로 199, 삼성에버랜드","경기도"
8519,"휴게음식점",3830000,20150127,"폐업",20170109,"98.90","투썸플레이스박달사거리점","커피숍",98.9,"경기도 안양시 만안구 박달로 517, 지상1층 (박달동)","경기도"
11122,"휴게음식점",3910000,20121126,"폐업",20210506,"241.93","투썸플레이스평택대점","커피숍",241.93,"경기도 평택시 서동대로 3825, 1층 (용이동, 평택대학교15동문화복지관)","경기도"
13158,"휴게음식점",4050000,20170413,"폐업",20170417,"34.00","투썸플레이스","커피숍",34,"경기도 용인시 처인구 포곡읍 에버랜드로 199 (외8필지 19동, 42동)","경기도"
15033,"휴게음식점",4050000,20140122,"폐업",20160502,"213.13","투썸플레이스용인죽전아울렛점","커피숍",213.13,"경기도 용인시 수지구 용구대로 2736 (죽전동, 영일죽전빌딩 203호)","경기도"
15057,"휴게음식점",4050000,20110620,"폐업",20150818,"248.11","투썸플레이스","커피숍",248.11,"경기도 용인시 수지구 수지로296번길 51-10 (풍덕천동,101,102호)","경기도"
15762,"휴게음식점",5690000,20141027,"폐업",20180411,"217.78","투썸플레이스 세종퍼스트점","커피숍",217.78,"세종특별자치시 누리로 65, 1,2층 (한솔동)","세종특별자치시"
